authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
Ramirez De Arellano A.B.,Patients without borders: The emergence of medical tourism,2007,International Journal of Health Services,Article,162,"3745 Winfield Lane, NW, Washington, DC 20007, United States",NA,10.2190/4857-468G-2325-47UU,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248525101&doi=10.2190%2f4857-468G-2325-47UU&partnerID=40&md5=300c62fc59857c326c85ac548b674a3e
"Carrera P.M., Bridges J.F.P.",Globalization and healthcare: Understanding health and medical tourism,2006,Expert Review of Pharmacoeconomics and Outcomes Research,Review,155,"International Health Economics and Outcome Research Group, Department of Tropical Hygiene and Public Health, University of Heidelberg - Medical School, Im Neuenheimer Feld 324, 69120 Heidelberg, Germany; John Hopkins Bloomberg School of Public Health, 624 N. Broadway, Baltimore, MD 21205, United States",Access; Globalization; Health policy; Healthcare,10.1586/14737167.6.4.447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748092566&doi=10.1586%2f14737167.6.4.447&partnerID=40&md5=4fc223ff0ef200a290316d0e4c7a0140
"Pocock N.S., Phua K.H.","Medical tourism and policy implications for health systems: A conceptual framework from a comparative study of Thailand, Singapore and Malaysia",2011,Globalization and Health,Review,145,"Lee Kuan Yew School of Public Policy, National University of Singapore, 469C Bukit Timah Road, OTH Building, Singapore 259772, Singapore",NA,10.1186/1744-8603-7-12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955499770&doi=10.1186%2f1744-8603-7-12&partnerID=40&md5=a1ce256dda1d9d0d2d6161deb3d73ca0
"Johnston R., Crooks V.A., Snyder J., Kingsbury P.",What is known about the effects of medical tourism in destination and departure countries? A scoping review,2010,International Journal for Equity in Health,Article,142,"Department of Geography, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada; Faculty of Health Sciences, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada",NA,10.1186/1475-9276-9-24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049323143&doi=10.1186%2f1475-9276-9-24&partnerID=40&md5=7d369f96b207daa4eb45cabf96a84890
"Yu J.Y., Ko T.G.","A cross-cultural study of perceptions of medical tourism among Chinese, Japanese and Korean tourists in Korea",2012,Tourism Management,Article,133,"Korea Culture and Tourism Institute, Kang Seo Gu, Seoul, South Korea; Department of Convention and Tourism Management, Hallym University, Chun Cheon, Gang Won Do, South Korea",Cross-cultural study; Health tourism; Medical tourism; Participation intention; Perception,10.1016/j.tourman.2011.02.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052432155&doi=10.1016%2fj.tourman.2011.02.002&partnerID=40&md5=678009b0b73054fb5632d5cd9b1d9112
"Glinos I.A., Baeten R., Helble M., Maarse H.",A typology of cross-border patient mobility,2010,Health and Place,Article,119,"Department of Health Organisation, Policy and Economics, Faculty of Health, Medicine and Life Sciences, University of Maastricht, Universiteitssingel 40, P.O. Box 616, 6229 ER Maastricht, NL-6200 MD Maastricht, Netherlands; Observatoire Social Européen (a.s.b.l.), Rue Paul Emile Janson 13, B-1050 Brussels, Belgium; Trade and Environment Division, World Trade Organization, Rue de Lausanne 154, CH-1211 Geneva, Switzerland",Access; Cross-border health care; Health funding; Patient mobility; Travel,10.1016/j.healthplace.2010.08.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957654236&doi=10.1016%2fj.healthplace.2010.08.001&partnerID=40&md5=ff007fd99930575b7edb5a948691d061
Connell J.,Medical tourism,2011,Medical tourism,Book,118,"School of Geosciences, University of Sydney, Australia",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890198296&partnerID=40&md5=d26a37f1941f5b49f9c6d1e72180f96f
Morris P.E.,Moving Our Critically Ill Patients: Mobility Barriers and Benefits,2007,Critical Care Clinics,Review,117,"Pulmonary Medical, Wake Forest University School of Medicine, Gray Building, Winston-Salem, NC 27157, United States",NA,10.1016/j.ccc.2006.11.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846973997&doi=10.1016%2fj.ccc.2006.11.003&partnerID=40&md5=7de5dbb2dbc0198c208c79f372a41a14
"Crooks V.A., Turner L., Snyder J., Johnston R., Kingsbury P.","Promoting medical tourism to India: Messages, images, and the marketing of international patient travel",2011,Social Science and Medicine,Article,114,"Simon Fraser University, Department of Geography, RCB 7123, 8888 University Drive, Burnaby, BC, Canada; University of Minnesota, United States; Simon Fraser University, Faculty of Health Sciences, Canada",Advertising; Canada; Globalization; India; Marketing; Medical tourism; Thematic content analysis; Trade in health services,10.1016/j.socscimed.2010.12.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952003193&doi=10.1016%2fj.socscimed.2010.12.022&partnerID=40&md5=c3002cde8c3aeeb4ee8206bb35957f9a
Hall C.M.,Health and medical tourism: A kill or cure for global public health?,2011,Tourism Review,Review,109,"Department of Management, University of Canterbury, Christchurch, New Zealand",International travel; Medical treatment; Public health; Tourism,10.1108/16605371111127198,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992993085&doi=10.1108%2f16605371111127198&partnerID=40&md5=27b05b4a3ef14bbc27db3cbe30932135
"Heung V.C.S., Kucukusta D., Song H.",Medical tourism development in Hong Kong: An assessment of the barriers,2011,Tourism Management,Article,105,"School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong",Barriers; Hong Kong; Medical tourism; Tourism development,10.1016/j.tourman.2010.08.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955483498&doi=10.1016%2fj.tourman.2010.08.012&partnerID=40&md5=5d75a0cb5ce593046cac71119090c8a4
"Heung V.C.S., Kucukusta D., Song H.",A conceptual model of medical tourism: Implications for future research,2010,Journal of Travel and Tourism Marketing,Article,105,"School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hung Hom, Kowloon, China",Demand model; Empirical testing; Medical tourism; Supply model,10.1080/10548401003744677,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952121367&doi=10.1080%2f10548401003744677&partnerID=40&md5=ccc52ad3d1996ff60043b4c3e04868aa
"Smith M., Puczkó L.",Health and wellness tourism,2008,Health and Wellness Tourism,Book,104,"Institute for Environmental Sciences, Faculty of Business, Corvinus University, Budapest, Hungary; Xellum Ltd, Budapest, Hungary",NA,10.4324/9780080942032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906636431&doi=10.4324%2f9780080942032&partnerID=40&md5=910508f45304f4827c6dc394ea0a61b3
"Taylor R., Lovelock L., Tunbridge W.M.G., Alberti K.G.M.M., Brackenridge R.G., Stephenson P., Young E.",Comparison of non-mydriatic retinal photography with ophthalmoscopy in 2159 patients: Mobile retinal camera study,1990,British Medical Journal,Article,104,"Department Internal Medicine, Yale Medical School, Division of Endocrinology, 333 Cedar Street, New Haven, CT 06510-8056, United States",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025602956&partnerID=40&md5=3235e7bb060b76e4c79ee67b4771dcd3
García-Altés A.,The development of health tourism services,2005,Annals of Tourism Research,Article,101,"Fund. Inst. de Invest./Serv. Salud, Pere Serafi 38, 08012 Barcelona, Spain",NA,10.1016/j.annals.2004.05.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14544304577&doi=10.1016%2fj.annals.2004.05.007&partnerID=40&md5=16416aac99adbac86b6dbacf7786c0da
"Goodrich J.N., Goodrich G.E.",Health-care tourism - an exploratory study,1987,Tourism Management,Article,98,"Florida International University, University Park Campus, Miami, FL 33199, United States; Grace Goodrich is at the Kendall Regional Medical Center, 11750 Bird Road, Miami, FL 33175, United States",health-care tourism,10.1016/0261-5177(87)90053-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023482912&doi=10.1016%2f0261-5177%2887%2990053-7&partnerID=40&md5=3410e5ea9ca5f545862bf1fef49b33fb
"Erfurt-Cooper P., Cooper M.",Health and wellness tourism: Spas and hot springs,2009,Health and Wellness Tourism: Spas and Hot Springs,Book,96,NA,NA,10.1007/9781845411138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949205937&doi=10.1007%2f9781845411138&partnerID=40&md5=a4c5f658f03bd0db5d7aaadfb5fb8aa3
MacReady N.,Developing countries court medical tourists.,2007,Lancet,Article,96,NA,NA,10.1016/S0140-6736(07)60833-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250337797&doi=10.1016%2fS0140-6736%2807%2960833-2&partnerID=40&md5=92aa0aca8ac9dbf95e05b79149c9773f
"Horowitz M.D., Rosensweig J.A.",Medical tourism--health care in the global economy.,2007,Physician executive,Article,94,"Medical Insights International, United States",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38449103963&partnerID=40&md5=5b3a7473e8d86d84db789edfd14fafb4
"Smith M., Kelly C.",Wellness tourism,2006,Tourism Recreation Research,Editorial,93,"University of Greenwich, Business School, Maritime Campus, 30 Park Row, Greenwich, London, SE109LS, United Kingdom",NA,10.1080/02508281.2006.11081241,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979917913&doi=10.1080%2f02508281.2006.11081241&partnerID=40&md5=28762a5001a4ac56421c584f94984d25
York D.,Medical tourism: The trend toward outsourcing medical procedures to foreign countries,2008,Journal of Continuing Education in the Health Professions,Article,92,"1500 Cedarbluff Drive, Richmond, VA 23238, United States",Accreditation; Certification; Continuing medical education; Health care; Medical tourism,10.1002/chp.165,https://www.scopus.com/inward/record.uri?eid=2-s2.0-47249112596&doi=10.1002%2fchp.165&partnerID=40&md5=aadb9a49440eb4a7ce79e26b683b135a
Burkett L.,"Medical tourism: Concerns, benefits, and the American legal perspective",2007,Journal of Legal Medicine,Review,90,"Southern Illinois University School of Law, United States; Southern Illinois University School of Law, C/o Law Journal Office, Lesar Law Building, Carbondale, IL 62901, United States",NA,10.1080/01947640701357763,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250214517&doi=10.1080%2f01947640701357763&partnerID=40&md5=6dffc5281817cf5f733ea1e4396d7f02
"Naranong A., Naranong V.",The effects of medical tourism: Thailand's experience [Les effets du tourisme médical: l'expérience thaïlandaise],2011,Bulletin of the World Health Organization,Article,87,"School of Public Administration, National Institute of Development Administration, 118 Sereethai Road, Klong Chan, Bangkapi, Bangkok,10240, Thailand; Thailand Development Research Institute, Bangkok, Thailand",NA,10.2471/BLT.09.072249,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955954332&doi=10.2471%2fBLT.09.072249&partnerID=40&md5=11263d193d1be27b5a74b69be196a2fe
"Voigt C., Brown G., Howat G.",Wellness tourists: In search of transformation,2011,Tourism Review,Article,86,"Researcher at the School of Management, Centre for Tourism & Leisure Management, University of South Australia, Adelaide, Australia",Consumer behaviour; Personal health; Tourism,10.1108/16605371111127206,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868257913&doi=10.1108%2f16605371111127206&partnerID=40&md5=e146151544c397c7faa627210d79347b
"Chinai R., Goswami R.",Medical visas mark growth of Indian medical tourism.,2007,Bulletin of the World Health Organization,Article,84,NA,NA,10.2471/BLT.07.010307,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249671617&doi=10.2471%2fBLT.07.010307&partnerID=40&md5=473017b5c866057223735b390981aab8
"Garzon-Serrano J., Ryan C., Waak K., Hirschberg R., Tully S., Bittner E.A., Chipman D.W., Schmidt U., Kasotakis G., Benjamin J., Zafonte R., Eikermann M.",Early mobilization in critically ill patients: Patients' mobilization level depends on health care provider's profession,2011,PM and R,Article,80,"Department of Anesthesiology, Critical Care and Pain Medicine, Massachusetts General Hospital, Boston, MA, United States; Department of Physical and Occupational Therapy, Massachusetts General Hospital, Boston, MA, United States; Department of Physical Medicine and Rehabilitation, Massachusetts General Hospital, Boston, MA, United States; Department of Respiratory Care, Massachusetts General Hospital, Boston, MA, United States; Division of Trauma and Surgical Critical Care, Massachusetts General Hospital, Boston, MA, United States",NA,10.1016/j.pmrj.2010.12.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954554976&doi=10.1016%2fj.pmrj.2010.12.022&partnerID=40&md5=9d714d6a08530294f18167de885a07c4
"Cormany D., Baloglu S.",Medical travel facilitator websites: An exploratory study of web page contents and services offered to the prospective medical tourist,2011,Tourism Management,Article,79,"University of Nevada, Harrah College of Hotel Administration, 4505 Maryland Parkway, Las Vegas, NV 89154, United States; Tourism and Convention Department, Harrah College of Hotel Administration, 4505 Maryland Parkway, Las Vegas, NV 89154-6023, United States",Health tourism; Medical facilitators; Medical tourism; Medical travel facilitators,10.1016/j.tourman.2010.02.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953879112&doi=10.1016%2fj.tourman.2010.02.008&partnerID=40&md5=7b8f12e36c1fece9def675a84b307a78
Leng C.H.,Medical tourism and the state in Malaysia and Singapore [Lien entre l'Etat et le tourisme médical en Malaisie et à Singapour],2010,Global Social Policy,Article,79,"Asia Research Institute, National University of Singapore, 469A Tower Block, Bukit Timah Road, #10-01, Singapore 259770, Singapore",healthcare reforms; healthcare system; Malaysia; medical tourism; medical travel; Singapore,10.1177/1468018110379978,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650266032&doi=10.1177%2f1468018110379978&partnerID=40&md5=fa0c86127358227e3e63321f7e003184
"Geraghty M., Glynn F., Amin M., Kinsella J.",Patient mobile telephone 'text' reminder: A novel way to reduce non-attendance at the ENT out-patient clinic,2008,Journal of Laryngology and Otology,Article,79,"Department of Otolaryngology, Head and Neck Surgery, Adelaide and Meath and the National Children's Hospital, Tallaght, Dublin, Ireland; Department of Surgery, Adelaide and Meath and the National Children's Hospital, Tallaght, Dublin 24, Ireland",Ireland; Mobile Phones; Otolaryngology; Outpatients; Patient Non-Compliance,10.1017/S0022215107007906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-40549083716&doi=10.1017%2fS0022215107007906&partnerID=40&md5=66e1503edea7d71f7b1687ca13036241
"Yeoh E., Othman K., Ahmad H.",Understanding medical tourists: Word-of-mouth and viral marketing as potent marketing tools,2013,Tourism Management,Article,78,"Centre of Graduate Studies, Universiti Selangor, Jalan Zirkon A 7/A, Seksyen 7, 40000 Shah Alam, Selangor, Malaysia; Institut Pengajian Eksekutif, Universiti Pertahanan Nasional Malaysia, Kem Sungai Besi, 57000 Kuala Lumpur, Malaysia; Faculty of Business, Universiti Selangor, Jalan Zirkon A 7/A, Seksyen 7, 40000 Shah Alam, Selangor, Malaysia",Demographics; Healthcare strategy; Malaysia; Medical tourism,10.1016/j.tourman.2012.04.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867138810&doi=10.1016%2fj.tourman.2012.04.010&partnerID=40&md5=7f751b549a1ed82394a263f507403aac
"Hanefeld J., Lunt N., Smith R., Horsfall D.",Why do medical tourists travel to where they do? The role of networks in determining medical travel,2015,Social Science and Medicine,Article,76,"Faculty of Public Health and Policy, London School of Hygiene and Tropical Medicine, 15-17 Tavistock Place, London, WC1H 9SH, United Kingdom; Department of Social Policy and Social Work, University of York, United Kingdom",Medical tourism; Networks; Patient motivation; UK NHS,10.1016/j.socscimed.2014.05.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920261607&doi=10.1016%2fj.socscimed.2014.05.016&partnerID=40&md5=e85c3a8c458893caeb38347fe39ce653
"Abubakar A.M., Ilkan M.",Impact of online WOM on destination trust and intention to travel: A medical tourism perspective,2016,Journal of Destination Marketing and Management,Article,74,"Department of Economics and Business Administration Eastern Mediterranean University, P.O box 95, Famagusta North Cyprus via Mersin 10, Turkey; School of Computing and Technology Eastern Mediterranean University, P.O box 95, Famagusta North Cyprus via Mersin 10, Turkey",Destination trust; eWOM; Medical tourism; Online WOM; Travel intention,10.1016/j.jdmm.2015.12.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953431868&doi=10.1016%2fj.jdmm.2015.12.005&partnerID=40&md5=4702b6e22055c22b8c7af3bd4857c8be
"Jones C.A., Keith L.G.",Medical tourism and reproductive outsourcing: The dawning of a new paradigm for healthcare,2006,International Journal of Fertility and Women's Medicine,Article,72,"Research Associate Johns Hopkins University, Bloomberg School of Public Health, Department of Health Policy and Management, Baltimore, MD, United States; Department of Obstetrics and Gynecology, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States; Bloomberg School of Public Health, Department of Health Policy and Management, 624 N. Broadway, Baltimore, MD 21205-1996, United States",Ethics; Fertility; Health care agencies; In vitro fertilization (IVF); Legal studies; Medical outsourcing; Medical tourism; Modern medicine; Reproductive outsourcing; Reproductive tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249043841&partnerID=40&md5=44551d6c54d4aebebf66c17584095989
"Nydahl P., Sricharoenchai T., Chandra S., Kundt F.S., Huang M., Fischill M., Needham D.M.",Safety of patient mobilization and rehabilitation in the intensive care unit: Systematic review with meta-analysis,2017,Annals of the American Thoracic Society,Review,71,"Nursing Research, University Hospital of Schleswig-Holstein, Brunswiker Strasse 10, Kiel, 24105, Germany; Division of Pulmonary and Critical Care Medicine, Thammasat University, PathumThani, Thailand; Telehealth Program, Northwell Health, New York, NY, United States; Institute of Nursing Science and Practice, Paracelsus Medical University, Salzburg, Austria; Department of Epidemiology, Rollins School of Public Health, Emory University, Atlanta, GA, United States; Nursing Development, University Hospital Salzburg, Salzburg, Austria; Division of Pulmonary and Critical Care Medicine, Department of Physical Medicine and Rehabilitation, Johns Hopkins University, Baltimore, MD, United States",Adverse effects; Early ambulation; Exercise; Patient safety,10.1513/AnnalsATS.201611-843SR,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018977607&doi=10.1513%2fAnnalsATS.201611-843SR&partnerID=40&md5=1f9b5ec7f023fd8dcc447e6630dd23cf
"Penney K., Snyder J., Crooks V.A., Johnston R.",Risk communication and informed consent in the medical tourism industry: A thematic content analysis of canadian broker websites,2011,BMC Medical Ethics,Article,71,"Faculty of Medicine, University of Calgary, 2500 University Drive, NW, Calgary, AB, Canada; Faculty of Health Sciences, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada; Department of Geography, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada",NA,10.1186/1472-6939-12-17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053350814&doi=10.1186%2f1472-6939-12-17&partnerID=40&md5=f3c5ab469e0ff624aad6c6e32d6c0d55
"Bies W., Zacharia L.",Medical tourism: Outsourcing surgery,2007,Mathematical and Computer Modelling,Article,71,"Katz Graduate School of Business, University of Pittsburgh, Pittsburgh, PA, United States; Department of Medicine, University of Pittsburgh, Pittsburgh, PA, United States",ANP models; Medical outsourcing; Medical tourism,10.1016/j.mcm.2007.03.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548127686&doi=10.1016%2fj.mcm.2007.03.027&partnerID=40&md5=49719da900380e4feaf98ffc2a1e6346
"Smith P.C., Forgione D.A.",Global Outsourcing of Healthcare: A Medical Tourism Decision Model,2007,Journal of Information Technology Case and Application Research,Article,71,"College of Business, University of Texas at San Antonio, United States",decision model; global outsourcing; health care system; health costs; health policy; healthcare services; Medical tourism,10.1080/15228053.2007.10856117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952175138&doi=10.1080%2f15228053.2007.10856117&partnerID=40&md5=1a739b65e3cd930df736ae6ce404ca86
"Hodgson C.L., Berney S., Harrold M., Saxena M., Bellomo R.",Clinical review: Early patient mobilization in the ICU,2012,Critical Care,Review,69,"Australia and New Zealand Intensive Care Research Centre, School of Public Health and Preventive Medicine, Monash University, The Alfred Centre, 99 Commercial Road, Melbourne, VIC, 3004, Australia; The Alfred, Commercial Rd, Prahran, VIC, 3181, Australia; Austin Health, 145 Studley Rd, Heidelberg, VIC, 3084, Australia; University of Melbourne, Grattan St Parkville, Melbourne, VIC, 3010, Australia; Curtin University, GPO Box U1987, Perth, WA, 6845, Australia; Royal Perth Hospital, 197 Wellington St, Perth, WA, 6000, Australia; The St George Hospital, Gray St, Kogarah, NSW, 2217, Australia; The University of New South Wales, High St, Kensington, NSW, 2052, Australia; The George Institute For Global Health, Level 13, 321 Kent Street, Sydney, NSW, 2000, Australia",NA,10.1186/cc11820,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874391723&doi=10.1186%2fcc11820&partnerID=40&md5=02555da5fa9b12e11035f9091d6e7435
Turner L.G.,Quality in health care and globalization of health services: Accreditation and regulatory oversight of medical tourism companies,2011,International Journal for Quality in Health Care,Article,69,"Center for Bioethics and School of Public Health, University of Minnesota, Minneapolis, MN, United States",Accreditation; Globalization; Legal standards; Medical travel; Regulation and oversight,10.1093/intqhc/mzq078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751689192&doi=10.1093%2fintqhc%2fmzq078&partnerID=40&md5=d165b0b2357422d58292ad29701c9e63
Han H.,The healthcare hotel: Distinctive attributes for international medical travelers,2013,Tourism Management,Article,66,"College of Hospitality and Tourism Management, Sejong University, 98 Gunja-Dong, Gwanjin-Gu, Seoul 143-747, South Korea",Affect; Healthcare hotel; Medical tourism; Perceptions/cognitions; Trust; Visit intention,10.1016/j.tourman.2012.11.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872477205&doi=10.1016%2fj.tourman.2012.11.016&partnerID=40&md5=91a4ae2f793f33f73a51dd1de2807d42
Ormond M.,Neoliberal governance and international medical travel in Malaysia,2013,Neoliberal Governance and International Medical Travel in Malaysia,Book,66,"Cultural Geography Department, Wageningen University, Netherlands",NA,10.4324/9780203077566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909436212&doi=10.4324%2f9780203077566&partnerID=40&md5=32b6c36d626100bdb078514ee9c90a31
Turner L.,Medical tourism: Family medicine and international health-related travel [Tourisme médical: La médecine familiale et les voyages internationaux reliés à la santé],2007,Canadian Family Physician,Note,66,"Biomedical Ethics Unit, McGill University, Montreal, QC, Canada; Biomedical Ethics Unit, McGill University, 3647 Peel St, Montreal, QC H3A 1X1, Canada",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38449088638&partnerID=40&md5=37c94c699993f569cd3c788f2071243b
"Ehrbeck T., Guevara C., Mango P.O.",Mapping the market for medical travel,2008,McKinsey Quarterly,Note,65,Mckinsey's Delhi Office; Dubai Office; Pittsburgh Office,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-54849423768&partnerID=40&md5=5f87dd2509e377e169aabad47afcba68
